time,lat,lon,depth_km,mag,FI_S,label
2015-08-14 14:59:53.600000+00:00,55.543201,160.41014,45.35,1.48,-100.0,1
2015-08-14 16:40:14.090000+00:00,55.619523,160.664779,4.95,1.2,0.179,1
2015-08-14 16:42:12.830000+00:00,55.619275,160.664909,4.96,0.87,-100.0,1
2015-08-14 16:54:39.350000+00:00,56.01359,160.547559,25.79,1.28,-100.0,1
2015-08-14 20:20:44.560000+00:00,56.055859,160.606331,32.4,1.77,-0.689,1
2015-08-14 21:58:35+00:00,56.051229,160.606543,31.12,1.63,-0.646,1
2015-08-14 22:14:15.680000+00:00,55.678479,160.306738,32.67,1.05,-100.0,1
2015-08-14 22:16:25.760000+00:00,55.572005,160.374447,34.72,1.67,-100.0,1
2015-08-14 23:05:41.240000+00:00,56.073543,160.591829,38.95,1.17,-0.849,1
2015-08-15 00:16:38.550000+00:00,55.825387,160.365251,0.81,0.83,-100.0,1
2015-08-15 00:41:02.420000+00:00,56.052173,160.594792,31.31,1.47,-0.718,1
2015-08-15 03:45:09.400000+00:00,56.046195,160.609456,29.8,1.9,-0.622,1
2015-08-15 07:45:32.620000+00:00,56.052022,160.615625,31.25,1.93,-0.71,1
2015-08-15 09:16:02.840000+00:00,56.049272,160.596533,29.73,1.48,-0.602,1
2015-08-15 09:19:52.080000+00:00,56.156433,160.923861,23.43,1.38,0.051,1
2015-08-15 10:40:36.970000+00:00,56.053129,160.599398,30.28,1.72,-0.734,1
2015-08-15 11:10:53.600000+00:00,56.053914,160.597607,30.25,1.27,-0.663,1
2015-08-15 11:34:38.940000+00:00,56.068294,160.613607,-1.35,0.72,-100.0,1
2015-08-15 12:12:29.230000+00:00,56.04644,160.603499,29.47,1.44,-0.776,1
2015-08-15 12:42:59.410000+00:00,56.067806,160.599577,-1.77,1.12,-100.0,1
2015-08-15 13:10:21.540000+00:00,56.044849,160.596924,27.58,1.68,-0.786,1
2015-08-15 14:25:53.090000+00:00,56.052006,160.605924,30.92,1.75,-0.754,1
2015-08-15 14:58:35.650000+00:00,55.709916,160.485742,0.39,0.8,-0.073,1
2015-08-15 15:07:53.390000+00:00,56.051888,160.61154,-0.69,1.27,-0.784,1
